indicator,parentlocation,location,period,dim1,factvaluenumeric
Number of new HIV infections,Western Pacific,Vanuatu,2010,,
Number of new HIV infections,Europe,Albania,2005,,100
Number of new HIV infections,South-East Asia,Bhutan,2005,,100
Number of new HIV infections,Europe,Bosnia and Herzegovina,2005,,100
Number of new HIV infections,Africa,Comoros,2005,,100
Number of new HIV infections,Europe,Croatia,2005,,100
Number of new HIV infections,Western Pacific,Fiji,2005,,100
Number of new HIV infections,Europe,Iceland,2005,,100
Number of new HIV infections,Eastern Mediterranean,Jordan,2005,,100
Number of new HIV infections,Eastern Mediterranean,Kuwait,2005,,100
Number of new HIV infections,Europe,Luxembourg,2005,,100
Number of new HIV infections,Europe,Malta,2005,,100
Number of new HIV infections,Western Pacific,Mongolia,2005,,100
Number of new HIV infections,Europe,Montenegro,2005,,100
Number of new HIV infections,Europe,North Macedonia,2005,,100
Number of new HIV infections,Eastern Mediterranean,Qatar,2005,,100
Number of new HIV infections,Europe,Slovakia,2005,,100
Number of new HIV infections,Europe,Slovenia,2005,,100
Number of new HIV infections,Eastern Mediterranean,Syrian Arab Republic,2005,,100
Number of new HIV infections,Eastern Mediterranean,Oman,2005,,100
Number of new HIV infections,Eastern Mediterranean,Saudi Arabia,2005,,100
Number of new HIV infections,Eastern Mediterranean,Lebanon,2005,,200
Number of new HIV infections,Europe,Serbia,2005,,200
Number of new HIV infections,South-East Asia,Timor-Leste,2005,,200
Number of new HIV infections,Europe,Armenia,2005,,200
Number of new HIV infections,Americas,Barbados,2005,,200
Number of new HIV infections,Europe,Bulgaria,2005,,200
Number of new HIV infections,Western Pacific,New Zealand,2005,,200
Number of new HIV infections,Africa,Cabo Verde,2005,,200
Number of new HIV infections,Europe,Czechia,2005,,200
Number of new HIV infections,Europe,Denmark,2005,,200
Number of new HIV infections,Europe,Ireland,2005,,500
Number of new HIV infections,Europe,Lithuania,2005,,500
Number of new HIV infections,Americas,Bahamas,2005,,500
Number of new HIV infections,Americas,Belize,2005,,500
Number of new HIV infections,Europe,Georgia,2005,,500
Number of new HIV infections,Europe,Greece,2005,,500
Number of new HIV infections,Europe,Israel,2005,,500
Number of new HIV infections,Europe,Kyrgyzstan,2005,,500
Number of new HIV infections,Europe,Latvia,2005,,500
Number of new HIV infections,Western Pacific,Singapore,2005,,500
Number of new HIV infections,South-East Asia,Sri Lanka,2005,,500
Number of new HIV infections,Europe,Switzerland,2005,,500
Number of new HIV infections,Eastern Mediterranean,Afghanistan,2005,,500
Number of new HIV infections,Americas,Suriname,2005,,500
Number of new HIV infections,Eastern Mediterranean,Tunisia,2005,,500
Number of new HIV infections,Africa,Guinea,2005,,10000
Number of new HIV infections,Africa,Mauritius,2005,,1000
Number of new HIV infections,Africa,Algeria,2005,,1000
Number of new HIV infections,Europe,Netherlands (Kingdom of the),2005,,1000
Number of new HIV infections,Africa,Kenya,2005,,110000
Number of new HIV infections,Americas,Paraguay,2005,,1100
Number of new HIV infections,Americas,Honduras,2005,,1100
Number of new HIV infections,Western Pacific,Philippines,2005,,1100
Number of new HIV infections,Americas,Venezuela (Bolivarian Republic of),2005,,12000
Number of new HIV infections,Americas,Colombia,2005,,12000
Number of new HIV infections,Americas,Panama,2005,,1300
Number of new HIV infections,Africa,South Sudan,2005,,14000
Number of new HIV infections,Europe,Kazakhstan,2005,,1400
Number of new HIV infections,Africa,Eritrea,2005,,1400
Number of new HIV infections,Americas,Mexico,2005,,15000
Number of new HIV infections,Africa,Mozambique,2005,,150000
Number of new HIV infections,Africa,Rwanda,2005,,16000
Number of new HIV infections,Eastern Mediterranean,Morocco,2005,,1600
Number of new HIV infections,Africa,Botswana,2005,,17000
Number of new HIV infections,Africa,Namibia,2005,,17000
Number of new HIV infections,Africa,Nigeria,2005,,170000
Number of new HIV infections,Europe,Belarus,2005,,1700
Number of new HIV infections,Europe,Ukraine,2005,,18000
Number of new HIV infections,Africa,Eswatini,2005,,18000
Number of new HIV infections,Americas,Jamaica,2005,,1800
Number of new HIV infections,Americas,El Salvador,2005,,1800
Number of new HIV infections,Western Pacific,Viet Nam,2005,,19000
Number of new HIV infections,Europe,Republic of Moldova,2005,,1900
Number of new HIV infections,Europe,Portugal,2005,,1900
Number of new HIV infections,Americas,Bolivia (Plurinational State of),2005,,2000
Number of new HIV infections,Americas,Guatemala,2005,,2000
Number of new HIV infections,Americas,Cuba,2005,,2100
Number of new HIV infections,Americas,Chile,2005,,2100
Number of new HIV infections,South-East Asia,Myanmar,2005,,22000
Number of new HIV infections,Americas,Canada,2005,,2400
Number of new HIV infections,Africa,Gambia,2005,,2400
Number of new HIV infections,Americas,Ecuador,2005,,2400
Number of new HIV infections,Africa,Ghana,2005,,25000
Number of new HIV infections,Africa,Lesotho,2005,,25000
Number of new HIV infections,Africa,Angola,2005,,26000
Number of new HIV infections,Eastern Mediterranean,Sudan,2005,,2700
Number of new HIV infections,South-East Asia,Thailand,2005,,28000
Number of new HIV infections,Western Pacific,Papua New Guinea,2005,,2800
Number of new HIV infections,Africa,Niger,2005,,2900
Number of new HIV infections,Europe,Uzbekistan,2005,,3200
Number of new HIV infections,Africa,Liberia,2005,,3200
Number of new HIV infections,Europe,Spain,2005,,3300
Number of new HIV infections,Africa,Gabon,2005,,3400
Number of new HIV infections,Africa,Guinea-Bissau,2005,,3600
Number of new HIV infections,Africa,Senegal,2005,,3700
Number of new HIV infections,Africa,Ethiopia,2005,,39000
Number of new HIV infections,South-East Asia,Nepal,2005,,3900
Number of new HIV infections,Africa,Cote d'Ivoire,2005,,40000
Number of new HIV infections,Western Pacific,Cambodia,2005,,4400
Number of new HIV infections,Africa,Democratic Republic of the Congo,2005,,45000
Number of new HIV infections,Americas,Brazil,2005,,47000
Number of new HIV infections,Europe,Italy,2005,,4700
Number of new HIV infections,Americas,Peru,2005,,4700
Number of new HIV infections,Africa,South Africa,2005,,480000
Number of new HIV infections,South-East Asia,Indonesia,2005,,50000
Number of new HIV infections,Americas,Argentina,2005,,5400
Number of new HIV infections,Europe,Romania,2005,,560
Number of new HIV infections,Western Pacific,Malaysia,2005,,5600
Number of new HIV infections,Eastern Mediterranean,Egypt,2005,,570
Number of new HIV infections,Africa,Burundi,2005,,5700
Number of new HIV infections,Americas,Guyana,2005,,600
Number of new HIV infections,Americas,Dominican Republic,2005,,6000
Number of new HIV infections,Africa,Sierra Leone,2005,,6100
Number of new HIV infections,Africa,Benin,2005,,6200
Number of new HIV infections,Europe,Estonia,2005,,650
Number of new HIV infections,Americas,Nicaragua,2005,,660
Number of new HIV infections,Americas,Uruguay,2005,,670
Number of new HIV infections,Africa,Zambia,2005,,69000
Number of new HIV infections,Americas,Costa Rica,2005,,700
Number of new HIV infections,Africa,Congo,2005,,7300
Number of new HIV infections,Africa,Malawi,2005,,74000
Number of new HIV infections,Eastern Mediterranean,Iran (Islamic Republic of),2005,,7500
Number of new HIV infections,Europe,France,2005,,7500
Number of new HIV infections,Africa,Mauritania,2005,,780
Number of new HIV infections,Eastern Mediterranean,Yemen,2005,,800
Number of new HIV infections,Europe,Azerbaijan,2005,,840
Number of new HIV infections,Africa,Burkina Faso,2005,,8800
Number of new HIV infections,Eastern Mediterranean,Djibouti,2005,,900
Number of new HIV infections,Africa,Togo,2005,,9000
Number of new HIV infections,Western Pacific,Lao People's Democratic Republic,2005,,920
Number of new HIV infections,South-East Asia,Bangladesh,2005,,920
Number of new HIV infections,Americas,Haiti,2005,,9300
Number of new HIV infections,Western Pacific,Australia,2005,,940
Number of new HIV infections,Africa,Zimbabwe,2005,,95000
Number of new HIV infections,Africa,Uganda,2005,,96000
Number of new HIV infections,Africa,United Republic of Tanzania,2005,,96000
Number of new HIV infections,Africa,Chad,2005,,9700
Number of new HIV infections,Africa,Mali,2005,,9800
Number of new HIV infections,Europe,Tajikistan,2005,,990
Number of new HIV infections,Europe,Andorra,2005,,
Number of new HIV infections,Americas,Antigua and Barbuda,2005,,
Number of new HIV infections,Europe,Austria,2005,,
Number of new HIV infections,Eastern Mediterranean,Bahrain,2005,,
Number of new HIV infections,Europe,Belgium,2005,,
Number of new HIV infections,Western Pacific,Brunei Darussalam,2005,,
Number of new HIV infections,Africa,Cameroon,2005,,
Number of new HIV infections,Africa,Central African Republic,2005,,
Number of new HIV infections,Western Pacific,China,2005,,
Number of new HIV infections,Western Pacific,Cook Islands,2005,,
Number of new HIV infections,Europe,Cyprus,2005,,
Number of new HIV infections,South-East Asia,Democratic People's Republic of Korea,2005,,
Number of new HIV infections,Americas,Dominica,2005,,
Number of new HIV infections,Africa,Equatorial Guinea,2005,,
Number of new HIV infections,Europe,Finland,2005,,
Number of new HIV infections,Europe,Germany,2005,,
Number of new HIV infections,Americas,Grenada,2005,,
Number of new HIV infections,Europe,Hungary,2005,,
Number of new HIV infections,South-East Asia,India,2005,,
Number of new HIV infections,Eastern Mediterranean,Iraq,2005,,
Number of new HIV infections,Western Pacific,Japan,2005,,
Number of new HIV infections,Western Pacific,Kiribati,2005,,
Number of new HIV infections,Eastern Mediterranean,Libya,2005,,
Number of new HIV infections,Africa,Madagascar,2005,,
Number of new HIV infections,South-East Asia,Maldives,2005,,
Number of new HIV infections,Western Pacific,Marshall Islands,2005,,
Number of new HIV infections,Western Pacific,Micronesia (Federated States of),2005,,
Number of new HIV infections,Europe,Monaco,2005,,
Number of new HIV infections,Western Pacific,Nauru,2005,,
Number of new HIV infections,Western Pacific,Niue,2005,,
Number of new HIV infections,Europe,Norway,2005,,
Number of new HIV infections,Eastern Mediterranean,Pakistan,2005,,
Number of new HIV infections,Western Pacific,Palau,2005,,
Number of new HIV infections,Europe,Poland,2005,,
Number of new HIV infections,Western Pacific,Republic of Korea,2005,,
Number of new HIV infections,Europe,Russian Federation,2005,,
Number of new HIV infections,Americas,Saint Kitts and Nevis,2005,,
Number of new HIV infections,Americas,Saint Lucia,2005,,
Number of new HIV infections,Americas,Saint Vincent and the Grenadines,2005,,
Number of new HIV infections,Western Pacific,Samoa,2005,,
Number of new HIV infections,Europe,San Marino,2005,,
Number of new HIV infections,Africa,Sao Tome and Principe,2005,,
Number of new HIV infections,Africa,Seychelles,2005,,
Number of new HIV infections,Western Pacific,Solomon Islands,2005,,
Number of new HIV infections,Eastern Mediterranean,Somalia,2005,,
Number of new HIV infections,Europe,Sweden,2005,,
Number of new HIV infections,Europe,T端rkiye,2005,,
Number of new HIV infections,Western Pacific,Tonga,2005,,
Number of new HIV infections,Americas,Trinidad and Tobago,2005,,
Number of new HIV infections,Europe,Turkmenistan,2005,,
Number of new HIV infections,Western Pacific,Tuvalu,2005,,
Number of new HIV infections,Eastern Mediterranean,United Arab Emirates,2005,,
Number of new HIV infections,Europe,United Kingdom of Great Britain and Northern Ireland,2005,,
Number of new HIV infections,Americas,United States of America,2005,,
Number of new HIV infections,Western Pacific,Vanuatu,2005,,
Number of new HIV infections,Europe,Albania,2000,,100
Number of new HIV infections,Europe,Armenia,2000,,100
Number of new HIV infections,Europe,Bosnia and Herzegovina,2000,,100
Number of new HIV infections,Africa,Comoros,2000,,100
Number of new HIV infections,Europe,Croatia,2000,,100
Number of new HIV infections,Europe,Georgia,2000,,100
Number of new HIV infections,Europe,Iceland,2000,,100
Number of new HIV infections,Eastern Mediterranean,Jordan,2000,,100
Number of new HIV infections,Eastern Mediterranean,Kuwait,2000,,100
Number of new HIV infections,Europe,Kyrgyzstan,2000,,100
Number of new HIV infections,Eastern Mediterranean,Lebanon,2000,,100
Number of new HIV infections,Europe,Luxembourg,2000,,100
Number of new HIV infections,Europe,Malta,2000,,100
Number of new HIV infections,Western Pacific,Mongolia,2000,,100
Number of new HIV infections,Europe,Montenegro,2000,,100
Number of new HIV infections,Europe,North Macedonia,2000,,100
Number of new HIV infections,Eastern Mediterranean,Qatar,2000,,100
Number of new HIV infections,Europe,Slovakia,2000,,100
Number of new HIV infections,Europe,Slovenia,2000,,100
Number of new HIV infections,Eastern Mediterranean,Syrian Arab Republic,2000,,100
Number of new HIV infections,South-East Asia,Bhutan,2000,,100
Number of new HIV infections,Western Pacific,Fiji,2000,,100
Number of new HIV infections,Western Pacific,New Zealand,2000,,100
Number of new HIV infections,South-East Asia,Timor-Leste,2000,,100
Number of new HIV infections,Europe,Czechia,2000,,200
Number of new HIV infections,Eastern Mediterranean,Oman,2000,,200
Number of new HIV infections,Europe,Serbia,2000,,200
Number of new HIV infections,Americas,Barbados,2000,,200
Number of new HIV infections,Europe,Bulgaria,2000,,200
Number of new HIV infections,Europe,Lithuania,2000,,200
Number of new HIV infections,Africa,Cabo Verde,2000,,200
Number of new HIV infections,Europe,Ireland,2000,,200
Number of new HIV infections,Europe,Denmark,2000,,500
Number of new HIV infections,Europe,Estonia,2000,,500
Number of new HIV infections,Western Pacific,Singapore,2000,,500
Number of new HIV infections,Eastern Mediterranean,Tunisia,2000,,500
Number of new HIV infections,Eastern Mediterranean,Afghanistan,2000,,500
Number of new HIV infections,Americas,Bahamas,2000,,500
Number of new HIV infections,South-East Asia,Bangladesh,2000,,500
Number of new HIV infections,Americas,Belize,2000,,500
Number of new HIV infections,Eastern Mediterranean,Egypt,2000,,500
Number of new HIV infections,Europe,Greece,2000,,500
Number of new HIV infections,Europe,Israel,2000,,500
Number of new HIV infections,Western Pacific,Philippines,2000,,500
Number of new HIV infections,South-East Asia,Sri Lanka,2000,,500
Number of new HIV infections,Europe,Switzerland,2000,,500
Number of new HIV infections,Africa,Algeria,2000,,500
Number of new HIV infections,Americas,Costa Rica,2000,,500
Number of new HIV infections,Eastern Mediterranean,Yemen,2000,,500
Number of new HIV infections,Africa,Chad,2000,,11000
Number of new HIV infections,Africa,Mali,2000,,11000
Number of new HIV infections,Americas,Haiti,2000,,11000
Number of new HIV infections,Africa,United Republic of Tanzania,2000,,110000
Number of new HIV infections,Africa,Burkina Faso,2000,,12000
Number of new HIV infections,Africa,Guinea,2000,,12000
Number of new HIV infections,Africa,Zimbabwe,2000,,120000
Number of new HIV infections,Africa,Mauritania,2000,,1200
Number of new HIV infections,Americas,Panama,2000,,1200
Number of new HIV infections,Africa,Mauritius,2000,,1200
Number of new HIV infections,Americas,Cuba,2000,,1200
Number of new HIV infections,Africa,Togo,2000,,13000
Number of new HIV infections,Americas,Mexico,2000,,13000
Number of new HIV infections,Americas,Colombia,2000,,13000
Number of new HIV infections,Africa,South Sudan,2000,,14000
Number of new HIV infections,Africa,Kenya,2000,,140000
Number of new HIV infections,Africa,Mozambique,2000,,150000
Number of new HIV infections,Eastern Mediterranean,Djibouti,2000,,1500
Number of new HIV infections,Eastern Mediterranean,Morocco,2000,,1600
Number of new HIV infections,South-East Asia,Indonesia,2000,,17000
Number of new HIV infections,Africa,Nigeria,2000,,190000
Number of new HIV infections,Americas,Bolivia (Plurinational State of),2000,,1900
Number of new HIV infections,Africa,Angola,2000,,20000
Number of new HIV infections,Western Pacific,Viet Nam,2000,,20000
Number of new HIV infections,Africa,Eritrea,2000,,2000
Number of new HIV infections,Americas,El Salvador,2000,,2000
Number of new HIV infections,Africa,Eswatini,2000,,21000
Number of new HIV infections,Europe,Republic of Moldova,2000,,2100
Number of new HIV infections,Americas,Chile,2000,,2100
Number of new HIV infections,Europe,Portugal,2000,,2200
Number of new HIV infections,Africa,Namibia,2000,,23000
Number of new HIV infections,Africa,Rwanda,2000,,24000
Number of new HIV infections,South-East Asia,Myanmar,2000,,25000
Number of new HIV infections,Americas,Canada,2000,,2500
Number of new HIV infections,Africa,Gambia,2000,,2500
Number of new HIV infections,Americas,Ecuador,2000,,2500
Number of new HIV infections,Africa,Botswana,2000,,26000
Number of new HIV infections,Eastern Mediterranean,Sudan,2000,,2600
Number of new HIV infections,Western Pacific,Papua New Guinea,2000,,2600
Number of new HIV infections,Africa,Lesotho,2000,,27000
Number of new HIV infections,Americas,Jamaica,2000,,2900
Number of new HIV infections,Africa,Ghana,2000,,30000
Number of new HIV infections,Americas,Guatemala,2000,,3100
Number of new HIV infections,Europe,Ukraine,2000,,33000
Number of new HIV infections,Americas,Honduras,2000,,3300
Number of new HIV infections,Europe,Spain,2000,,3800
Number of new HIV infections,Eastern Mediterranean,Iran (Islamic Republic of),2000,,4000
Number of new HIV infections,Americas,Brazil,2000,,43000
Number of new HIV infections,Africa,Gabon,2000,,4300
Number of new HIV infections,Africa,Liberia,2000,,4300
Number of new HIV infections,South-East Asia,Thailand,2000,,51000
Number of new HIV infections,South-East Asia,Nepal,2000,,5100
Number of new HIV infections,Africa,South Africa,2000,,520000
Number of new HIV infections,Europe,Italy,2000,,5200
Number of new HIV infections,Africa,Guinea-Bissau,2000,,5200
Number of new HIV infections,Americas,Argentina,2000,,5200
Number of new HIV infections,Americas,Suriname,2000,,540
Number of new HIV infections,Americas,Peru,2000,,5400
Number of new HIV infections,Africa,Democratic Republic of the Congo,2000,,55000
Number of new HIV infections,Americas,Uruguay,2000,,570
Number of new HIV infections,Africa,Sierra Leone,2000,,5700
Number of new HIV infections,Western Pacific,Malaysia,2000,,5800
Number of new HIV infections,Africa,Cote d'Ivoire,2000,,59000
Number of new HIV infections,Europe,Latvia,2000,,590
Number of new HIV infections,Africa,Senegal,2000,,6100
Number of new HIV infections,Africa,Ethiopia,2000,,63000
Number of new HIV infections,Africa,Niger,2000,,6400
Number of new HIV infections,Western Pacific,Lao People's Democratic Republic,2000,,650
Number of new HIV infections,Americas,Guyana,2000,,660
Number of new HIV infections,Western Pacific,Australia,2000,,660
Number of new HIV infections,Europe,France,2000,,6700
Number of new HIV infections,Europe,Tajikistan,2000,,680
Number of new HIV infections,Eastern Mediterranean,Saudi Arabia,2000,,680
Number of new HIV infections,Europe,Belarus,2000,,700
Number of new HIV infections,Africa,Congo,2000,,7300
Number of new HIV infections,Europe,Romania,2000,,740
Number of new HIV infections,Africa,Benin,2000,,7400
Number of new HIV infections,Africa,Zambia,2000,,76000
Number of new HIV infections,Americas,Dominican Republic,2000,,7600
Number of new HIV infections,Africa,Burundi,2000,,7800
Number of new HIV infections,Americas,Venezuela (Bolivarian Republic of),2000,,8000
Number of new HIV infections,Western Pacific,Cambodia,2000,,8500
Number of new HIV infections,Europe,Kazakhstan,2000,,870
Number of new HIV infections,Europe,Netherlands (Kingdom of the),2000,,880
Number of new HIV infections,Americas,Paraguay,2000,,940
Number of new HIV infections,Europe,Azerbaijan,2000,,950
Number of new HIV infections,Africa,Malawi,2000,,97000
Number of new HIV infections,Africa,Uganda,2000,,97000
Number of new HIV infections,Americas,Nicaragua,2000,,970
Number of new HIV infections,Europe,Andorra,2000,,
Number of new HIV infections,Americas,Antigua and Barbuda,2000,,
Number of new HIV infections,Europe,Austria,2000,,
Number of new HIV infections,Eastern Mediterranean,Bahrain,2000,,
Number of new HIV infections,Europe,Belgium,2000,,
Number of new HIV infections,Western Pacific,Brunei Darussalam,2000,,
Number of new HIV infections,Africa,Cameroon,2000,,
Number of new HIV infections,Africa,Central African Republic,2000,,
Number of new HIV infections,Western Pacific,China,2000,,
Number of new HIV infections,Western Pacific,Cook Islands,2000,,
Number of new HIV infections,Europe,Cyprus,2000,,
Number of new HIV infections,South-East Asia,Democratic People's Republic of Korea,2000,,
Number of new HIV infections,Americas,Dominica,2000,,
Number of new HIV infections,Africa,Equatorial Guinea,2000,,
Number of new HIV infections,Europe,Finland,2000,,
Number of new HIV infections,Europe,Germany,2000,,
Number of new HIV infections,Americas,Grenada,2000,,
Number of new HIV infections,Europe,Hungary,2000,,
Number of new HIV infections,South-East Asia,India,2000,,
Number of new HIV infections,Eastern Mediterranean,Iraq,2000,,
Number of new HIV infections,Western Pacific,Japan,2000,,
Number of new HIV infections,Western Pacific,Kiribati,2000,,
Number of new HIV infections,Eastern Mediterranean,Libya,2000,,
Number of new HIV infections,Africa,Madagascar,2000,,
Number of new HIV infections,South-East Asia,Maldives,2000,,
Number of new HIV infections,Western Pacific,Marshall Islands,2000,,
Number of new HIV infections,Western Pacific,Micronesia (Federated States of),2000,,
Number of new HIV infections,Europe,Monaco,2000,,
Number of new HIV infections,Western Pacific,Nauru,2000,,
Number of new HIV infections,Western Pacific,Niue,2000,,
Number of new HIV infections,Europe,Norway,2000,,
Number of new HIV infections,Eastern Mediterranean,Pakistan,2000,,
Number of new HIV infections,Western Pacific,Palau,2000,,
Number of new HIV infections,Europe,Poland,2000,,
Number of new HIV infections,Western Pacific,Republic of Korea,2000,,
Number of new HIV infections,Europe,Russian Federation,2000,,
Number of new HIV infections,Americas,Saint Kitts and Nevis,2000,,
Number of new HIV infections,Americas,Saint Lucia,2000,,
Number of new HIV infections,Americas,Saint Vincent and the Grenadines,2000,,
Number of new HIV infections,Western Pacific,Samoa,2000,,
Number of new HIV infections,Europe,San Marino,2000,,
Number of new HIV infections,Africa,Sao Tome and Principe,2000,,
Number of new HIV infections,Africa,Seychelles,2000,,
Number of new HIV infections,Western Pacific,Solomon Islands,2000,,
Number of new HIV infections,Eastern Mediterranean,Somalia,2000,,
Number of new HIV infections,Europe,Sweden,2000,,
Number of new HIV infections,Europe,T端rkiye,2000,,
Number of new HIV infections,Western Pacific,Tonga,2000,,
Number of new HIV infections,Americas,Trinidad and Tobago,2000,,
Number of new HIV infections,Europe,Turkmenistan,2000,,
Number of new HIV infections,Western Pacific,Tuvalu,2000,,
Number of new HIV infections,Eastern Mediterranean,United Arab Emirates,2000,,
Number of new HIV infections,Europe,United Kingdom of Great Britain and Northern Ireland,2000,,
Number of new HIV infections,Americas,United States of America,2000,,
Number of new HIV infections,Europe,Uzbekistan,2000,,
Number of new HIV infections,Western Pacific,Vanuatu,2000,,
